year,World,Europe,North America & Oceania,Latin America,Middle East & North Africa,Sub-Saharan Africa,Russia & Central Asia,East Asia,South & Southeast Asia
1980,0.6074227094650269,0.6477852463722229,0.6715005040168762,0.5324894785881042,0.44127902388572693,0.5686213970184326,0.6050733327865601,0.6088491678237915,0.5834785103797913
1981,0.609592616558075,0.6473907828330994,0.6639355421066284,0.5359358191490173,0.4413336515426636,0.5785973072052002,0.6365658640861511,0.6089321374893188,0.5835980772972107
1982,0.6050503849983215,0.6422684788703918,0.665125846862793,0.5354063510894775,0.4484243094921112,0.5863385200500488,0.5917574167251587,0.6097549200057983,0.5816833972930908
1983,0.5984451174736023,0.6351940035820007,0.6551326513290405,0.520294725894928,0.4536835253238678,0.5814278721809387,0.5702731013298035,0.6103482246398926,0.5803481936454773
1984,0.5930145978927612,0.6265095472335815,0.6501517295837402,0.5171257853507996,0.452117919921875,0.5745967626571655,0.5596634149551392,0.606713056564331,0.5767033100128174
1985,0.5882844924926758,0.6221429109573364,0.6335512399673462,0.517109751701355,0.45251959562301636,0.5701514482498169,0.5638231039047241,0.6012101173400879,0.5760630369186401
1986,0.5908059477806091,0.6182506680488586,0.6590785980224609,0.5166572332382202,0.4585770070552826,0.5684387683868408,0.5482024550437927,0.5971949696540833,0.5750976204872131
1987,0.5921204090118408,0.6237506866455078,0.6607517004013062,0.514083981513977,0.4601494371891022,0.5627484321594238,0.5495158433914185,0.5960906147956848,0.5720253586769104
1988,0.5903214812278748,0.6188467144966125,0.6613863706588745,0.5168723464012146,0.45891720056533813,0.5573298335075378,0.5525560975074768,0.5910100936889648,0.567561686038971
1989,0.5894149541854858,0.6164140701293945,0.660526692867279,0.5180539488792419,0.45717787742614746,0.5519340634346008,0.558467447757721,0.588046669960022,0.565561830997467
1990,0.5891792178153992,0.6132750511169434,0.665861189365387,0.5114378333091736,0.45546406507492065,0.552206814289093,0.5769872069358826,0.5848156213760376,0.5616133809089661
1991,0.5896191000938416,0.6164212822914124,0.6669504046440125,0.5131824016571045,0.4611652195453644,0.5527119636535645,0.5618977546691895,0.5878111124038696,0.5601940155029297
1992,0.5905531644821167,0.6213061213493347,0.6703014373779297,0.517704427242279,0.45984789729118347,0.5537020564079285,0.5489447116851807,0.5873960852622986,0.5589451193809509
1993,0.5838989019393921,0.618228018283844,0.6641092300415039,0.5090029239654541,0.4583233594894409,0.5528253316879272,0.5378888249397278,0.5750643610954285,0.552851676940918
1994,0.5812726616859436,0.6082363128662109,0.656014084815979,0.5072019100189209,0.45082464814186096,0.5457445383071899,0.5617979168891907,0.5843645930290222,0.5482751131057739
1995,0.5781274437904358,0.6022338271141052,0.6512383818626404,0.49833598732948303,0.45069876313209534,0.5421134829521179,0.5986515283584595,0.5767105221748352,0.5454177856445312
1996,0.5794796943664551,0.6009823083877563,0.6491280794143677,0.4911317527294159,0.4573749005794525,0.5377935171127319,0.6574903130531311,0.5810957551002502,0.5421768426895142
1997,0.5782791972160339,0.600649356842041,0.6492672562599182,0.4865919351577759,0.45265281200408936,0.5391709208488464,0.6607285737991333,0.5840483903884888,0.5371631383895874
1998,0.578050971031189,0.6008512377738953,0.6571989059448242,0.494353324174881,0.4562494456768036,0.5326107144355774,0.6313109993934631,0.5818712115287781,0.5294514894485474
1999,0.5755898952484131,0.604970395565033,0.6585431098937988,0.49917101860046387,0.45638465881347656,0.5326249599456787,0.5447431802749634,0.5762733817100525,0.5289891958236694
2000,0.5742136240005493,0.6036067008972168,0.6640735864639282,0.49510982632637024,0.4545697271823883,0.5268696546554565,0.5418744087219238,0.5706474184989929,0.5263938903808594
2001,0.5744648575782776,0.603869616985321,0.6663706302642822,0.5029937028884888,0.45660799741744995,0.5235969424247742,0.5588452219963074,0.5644029974937439,0.5208742618560791
2002,0.5714752078056335,0.6030724048614502,0.6595169901847839,0.49014076590538025,0.45398271083831787,0.5152509212493896,0.6065139770507812,0.5586774349212646,0.5154064297676086
2003,0.5666444897651672,0.6006913781166077,0.6546943783760071,0.48570284247398376,0.44439074397087097,0.5162670612335205,0.5940959453582764,0.5541087985038757,0.5121896266937256
2004,0.5579463243484497,0.5944138169288635,0.6507848501205444,0.48265448212623596,0.43433839082717896,0.5163754224777222,0.5839380025863647,0.5362890958786011,0.505927562713623
2005,0.5521520972251892,0.591540515422821,0.6417580842971802,0.48203617334365845,0.42527714371681213,0.5213038325309753,0.5827144980430603,0.5327892899513245,0.4972938895225525
2006,0.5471060872077942,0.5875386595726013,0.6384016275405884,0.4792753756046295,0.42500996589660645,0.520220160484314,0.5844771265983582,0.5258694291114807,0.4890414774417877
2007,0.5457072257995605,0.5826759934425354,0.6447669267654419,0.480764776468277,0.41840171813964844,0.5190537571907043,0.593428909778595,0.5205785036087036,0.49111291766166687
