year,World,Europe,North America & Oceania,Latin America,Middle East & North Africa,Sub-Saharan Africa,Russia & Central Asia,East Asia,South & Southeast Asia
1980,0.391945481300354,0.3507005572319031,0.32977843284606934,0.4677593410015106,0.5571363568305969,0.43028736114501953,0.39490559697151184,0.38913077116012573,0.4158059358596802
1981,0.3897942900657654,0.3508536219596863,0.3383464217185974,0.46333402395248413,0.556867778301239,0.4207311272621155,0.36343419551849365,0.38896217942237854,0.41559696197509766
1982,0.3946261703968048,0.35605114698410034,0.33822712302207947,0.4642745852470398,0.550257682800293,0.4130362272262573,0.4082425832748413,0.388170450925827,0.4174858629703522
1983,0.40097129344940186,0.3630436658859253,0.3468687832355499,0.47909706830978394,0.5455268621444702,0.41814085841178894,0.42972689867019653,0.3875825107097626,0.4188096523284912
1984,0.40648093819618225,0.3716825246810913,0.35232996940612793,0.4822538197040558,0.5469198226928711,0.4249274432659149,0.4403366148471832,0.39118871092796326,0.42248088121414185
1985,0.4106021523475647,0.37604638934135437,0.36609652638435364,0.48252394795417786,0.5462437868118286,0.42936229705810547,0.43617692589759827,0.3962947130203247,0.4232250154018402
1986,0.4085049331188202,0.37990882992744446,0.3427755832672119,0.4828827977180481,0.5401732325553894,0.43116509914398193,0.4517975151538849,0.4001457989215851,0.42435187101364136
1987,0.40763476490974426,0.375167578458786,0.3419745862483978,0.48575177788734436,0.5386980772018433,0.4368695318698883,0.45048418641090393,0.40141716599464417,0.4274991452693939
1988,0.4096592366695404,0.3801473379135132,0.3423279821872711,0.4828782379627228,0.5400257110595703,0.44226858019828796,0.44779637455940247,0.4063318371772766,0.43200206756591797
1989,0.4103334844112396,0.3825635612010956,0.34206900000572205,0.4815455377101898,0.5419777631759644,0.4477264881134033,0.4421330690383911,0.4090522527694702,0.4341019093990326
1990,0.41018617153167725,0.38425227999687195,0.3363042175769806,0.4886111617088318,0.5436568856239319,0.44713130593299866,0.4244328737258911,0.4124302268028259,0.438005656003952
1991,0.4098890423774719,0.38116317987442017,0.33541613817214966,0.48683813214302063,0.5388321280479431,0.44680801033973694,0.44000622630119324,0.40954476594924927,0.43942904472351074
1992,0.4088720977306366,0.37606483697891235,0.3315703570842743,0.4822269678115845,0.5397651791572571,0.44607239961624146,0.4539984464645386,0.4101998805999756,0.44070327281951904
1993,0.415463387966156,0.37921416759490967,0.3371843993663788,0.4916059672832489,0.5405217409133911,0.4472738802433014,0.4663441479206085,0.42215001583099365,0.44686922430992126
1994,0.4180966913700104,0.3892544209957123,0.3456725776195526,0.4942554533481598,0.5474845170974731,0.4544526934623718,0.44277018308639526,0.4121513068675995,0.4514983296394348
1995,0.42153018712997437,0.39701494574546814,0.3511291444301605,0.4988732933998108,0.5477988719940186,0.45809292793273926,0.406727135181427,0.4200955927371979,0.4542265832424164
1996,0.4208223521709442,0.39828383922576904,0.3540032207965851,0.5096936821937561,0.5418716073036194,0.4625212550163269,0.34923434257507324,0.4160686731338501,0.457557737827301
1997,0.422186017036438,0.3989890217781067,0.35444989800453186,0.513868510723114,0.5468311309814453,0.46118593215942383,0.34573453664779663,0.41310378909111023,0.46242985129356384
1998,0.4226211905479431,0.3989733159542084,0.34723347425460815,0.5061760544776917,0.5434475541114807,0.46994996070861816,0.37356212735176086,0.4155738949775696,0.46954748034477234
1999,0.42487892508506775,0.39466819167137146,0.3456871211528778,0.5017557740211487,0.5429468154907227,0.46987104415893555,0.4555039405822754,0.4213578701019287,0.4703120291233063
2000,0.4265078604221344,0.3959394693374634,0.34057870507240295,0.5052326321601868,0.5446329116821289,0.4754534661769867,0.46151095628738403,0.42743155360221863,0.47324004769325256
2001,0.4265313148498535,0.3957688510417938,0.33898380398750305,0.49751392006874084,0.5429489016532898,0.47910240292549133,0.44472914934158325,0.4338598847389221,0.4788796603679657
2002,0.4292224943637848,0.3964956998825073,0.34550949931144714,0.5093689560890198,0.5455296039581299,0.48777055740356445,0.3943260908126831,0.4395580589771271,0.4844144880771637
2003,0.4340783655643463,0.39883026480674744,0.3498617112636566,0.5135570168495178,0.5546666979789734,0.4869149625301361,0.4095604717731476,0.44407767057418823,0.48799899220466614
2004,0.44237518310546875,0.4050265848636627,0.35393035411834717,0.5116719603538513,0.5648537874221802,0.48609790205955505,0.41963669657707214,0.4619274139404297,0.4942718744277954
2005,0.44824403524398804,0.4078800082206726,0.3633827269077301,0.5121990442276001,0.5738773941993713,0.48261183500289917,0.42078372836112976,0.4651373326778412,0.5029692053794861
2006,0.45332151651382446,0.4119054973125458,0.36803004145622253,0.5150198340415955,0.5739436149597168,0.4833340346813202,0.4190885126590729,0.4711342453956604,0.5110400915145874
2007,0.45459219813346863,0.41668006777763367,0.360214501619339,0.5129686594009399,0.5806057453155518,0.4833911657333374,0.41023963689804077,0.47803008556365967,0.5089933276176453
2008,0.453419953584671,0.4122706651687622,0.3570265471935272,0.5072632431983948,0.5888725519180298,0.48403728008270264,0.40761518478393555,0.47871580719947815,0.5039834976196289
2009,0.446968138217926,0.4016655385494232,0.3660184144973755,0.48670336604118347,0.5675015449523926,0.4819872975349426,0.3759109079837799,0.47244587540626526,0.49891501665115356
2010,0.4593861997127533,0.40662282705307007,0.401378333568573,0.4953857958316803,0.569433331489563,0.4782496988773346,0.4048779606819153,0.4801415801048279,0.5001999735832214
2011,0.4639149606227875,0.408604234457016,0.40342044830322266,0.49598634243011475,0.577112078666687,0.47917288541793823,0.4468689262866974,0.48099982738494873,0.4996051490306854
2012,0.46288231015205383,0.4045514166355133,0.40593111515045166,0.48997533321380615,0.5864347219467163,0.47754040360450745,0.4429471492767334,0.4744233787059784,0.49800577759742737
2013,0.46336227655410767,0.4051048457622528,0.40474942326545715,0.4928017556667328,0.5865558385848999,0.47840601205825806,0.4282921254634857,0.4781970679759979,0.4964427053928375
2014,0.4643595516681671,0.4091086983680725,0.4080851376056671,0.4915951192378998,0.5810062289237976,0.4799756109714508,0.42667415738105774,0.4775397479534149,0.4968750476837158
2015,0.46339190006256104,0.41366103291511536,0.4036486744880676,0.487643837928772,0.5581681728363037,0.4829012453556061,0.45047181844711304,0.4744175374507904,0.49801015853881836
2016,0.4575057923793793,0.41265228390693665,0.3727501332759857,0.4911004304885864,0.5472348928451538,0.48736536502838135,0.44870319962501526,0.47468307614326477,0.49627211689949036
2017,0.4578547775745392,0.4116612672805786,0.3698512017726898,0.49590444564819336,0.5535041093826294,0.4860573410987854,0.45198994874954224,0.47534316778182983,0.49408355355262756
2018,0.4584832489490509,0.40825921297073364,0.370086133480072,0.4993966519832611,0.5527344942092896,0.4851040840148926,0.4732073247432709,0.47462257742881775,0.49421629309654236
2019,0.45617902278900146,0.40208882093429565,0.3742745816707611,0.49564293026924133,0.5479251742362976,0.48299115896224976,0.4661718010902405,0.4722825586795807,0.49242523312568665
2020,0.45666301250457764,0.3984231948852539,0.3775158226490021,0.4954228401184082,0.5497042536735535,0.4876563549041748,0.4669627845287323,0.47285351157188416,0.4940425157546997
2021,0.4621998071670532,0.4072917103767395,0.3859191834926605,0.5071154236793518,0.5475190877914429,0.4893568754196167,0.4710668623447418,0.4810289144515991,0.49326422810554504
2022,0.4648493528366089,0.41209858655929565,0.39038366079330444,0.5067350268363953,0.5484023690223694,0.49001026153564453,0.4767022430896759,0.48238328099250793,0.49294328689575195
2023,0.4657214879989624,0.41514870524406433,0.3879203200340271,0.505351722240448,0.5479986667633057,0.4905480146408081,0.47629356384277344,0.48285484313964844,0.4950621426105499
2024,0.46605509519577026,0.4146154820919037,0.3879351019859314,0.5054750442504883,0.5482714772224426,0.49096181988716125,0.4762342870235443,0.48361173272132874,0.4948965907096863
2025,0.46643608808517456,0.4144672155380249,0.3879064917564392,0.5055813789367676,0.5485308766365051,0.4912925362586975,0.4763101637363434,0.484336256980896,0.4947325885295868
